slg13591980800,葫芦岛,非常好看，与阿凡达有一比！,52018-12-11 16:08:13
isfine,郑州,电影中还原了海底世界的景观就像纪录片一样，亚特兰蒂斯的故事和特效制作很有史诗的感觉。风格上不同于以前的DC电影那么黑暗沉重，反而有很多喜剧元素，但世界观还是保持的不错,4.52018-12-11 16:07:06
推塔能手,合肥,视觉盛宴，上周末看的，18年画面最好的影片！,52018-12-11 16:06:53
abcd布人布衣,常熟,非常好看！就是中文翻译出了点问题，把“同母异父”翻译成“同父异母”海王的父亲是人。弟弟是海王的母亲回海里所生。怎么就翻译成“同父异母”？？？？？？满分是给片子的。,52018-12-11 16:06:44
大写的木子木,上海,太酷了鸡皮疙瘩都起来了,52018-12-11 16:06:40
角色,潍坊,好看到没话说，非常好看,52018-12-11 16:06:40
DDD多多益善,重庆,乖巧.jpeg,52018-12-11 16:06:25
Crastian,北京,男的好猛啊 啊啊啊啊啊,52018-12-11 16:06:23
酱油咸蛋,上海,画面很炫，最后对冲有点指环王的感觉,42018-12-11 16:06:13
Sy_做快乐的男子ヽ,西安,很惊讶很不错,52018-12-11 16:06:09
tgN501369628,衢州,超级震撼，特别是看3D的，犹如身临其境,52018-12-11 16:06:08
Mmm黄晨,武汉,女朋友只喜欢看喜剧 难得她说这部是今年看过最好看的 全程没睡着,52018-12-11 16:06:07
EQh326650750,泸州,真的超好看比复仇者联盟都好看,52018-12-11 16:06:05
VDr950925459,北京,今年看过最牛逼的电影，特效*爆了。绝壁值回票价，太美了，公交车站海报宣传太渣了，你们一定要去看真的一定要去。,52018-12-11 16:05:55
gFs95662234,广州,只能用完美来形容了，不管是情感还是特效都是perfect,52018-12-11 16:05:51
Mab182944594,昆山,炫酷，女演员养眼,52018-12-11 16:04:13
禹润泽露,桂林,已经二刷了。还是好看,52018-12-11 16:04:13
浅安,兴安盟,除了情节俗套之外没什么可挑剔的，画面，特效都很好,42018-12-11 16:04:04
RAR331314145,长春,非常好，特效非常棒。,52018-12-11 16:03:45
AiiAlina,临沂,好看，完美再次刷2遍！,52018-12-11 16:03:28
zcwamy,天津,好看好看好看好看，评分高的电影就是好看好看,52018-12-11 16:03:17
Trn950417974,永川,好看好看好看,52018-12-11 16:03:07
谜之高鼻梁,北京,老套的剧情但是拍摄手法很好 特效也棒转场链接 镜头都很好,4.52018-12-11 16:03:01
二龙湖翔哥,连云港,dc神作66666,52018-12-11 16:02:09
BIT777571432,南宁,剧情简单，特效不错，就是看完有晕车的感觉，好晕(=_=),3.52018-12-11 16:02:04
maomao980716,吴江,片尾曲好评！,52018-12-11 16:02:03
sHp847938494,宁波,电影很好看😊，,52018-12-11 16:01:54
好高骛远是无知,张家港,只有炫特技的片子就是烂片！！！,22018-12-11 16:01:45
Zvl761768167,恩施,刺激，效果特别棒！,52018-12-11 16:01:43
bbj259250969,中山,节奏超赞，全程五尿点,52018-12-11 16:01:06
cantode,辽源,故事简单 暴力 主演们很帅,52018-12-11 15:58:08
A@以诺,南通,挺好看的，科技感十足。期待有下一部…,52018-12-11 15:57:42
hello7108,温岭,特效做的很好，下午包场了😊，电影很不错,4.52018-12-11 15:57:16
rjY503412934,广州,剧情老套，特效碉堡。,4.52018-12-11 15:57:13
oCF914060177,深圳,好看，等待第二部,52018-12-11 15:56:37
道道道道君,上海,很好看，海底世界很美很科幻,4.52018-12-11 15:56:28
uwA899083562,北京,不错dc要崛起了,52018-12-11 15:56:25
_weixin068779994,阿城区,很不错的电影,52018-12-11 15:56:11
kwE580068834,红河,还不错！！！！,4.52018-12-11 15:56:11
金都烟酒大航海,江阴,超级好看，我都看哭了,52018-12-11 15:56:06
马歌,武汉,改个有中国特色的名字吧：1、《西方牛郎织女》；2、《哥哥抢了弟弟的美女未婚妻》。😂 😂 😂,42018-12-11 15:56:02
会宠坏的备胎,达州,适合儿童观看,2.52018-12-11 15:56:01
SRr681262741,南京,还好。。。。。,42018-12-11 15:55:44
张,中山,好精彩的，还想看看,52018-12-11 15:55:44
鲸蚊,许昌,艾梅伯长得也太好看了吧 好喜欢！海王真的太好看了,52018-12-11 15:55:39
汤宝志,桐乡,超好看 ，全程憋着尿看完，绝对牛逼,4.52018-12-11 15:53:41
MIRQ,南通,效果炸裂，很好看,52018-12-11 15:53:37
dLj632451500,南通,视觉效果完美,52018-12-11 15:53:31
暗之魂,大连,拍的挺好的，最近DC的这几部电影里最好的一部了，还得的景色很漂亮，特效做得也很好，故事性也不错，给9分,4.52018-12-11 15:53:13
夏益发,百色,效果不错，海底科幻大片佼佼者。,52018-12-11 15:52:57
eaE855022760,大同,非常好看，值得观看,52018-12-11 15:52:17
Jievim,深圳,2018最好看的大片了,52018-12-11 15:52:06
cMM586956266,武汉,还可以，目前最好看的一部,4.52018-12-11 15:51:55
龙勇,攀枝花,好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看,52018-12-11 15:51:50
cassie,广州,好睇到不得了，今日二刷，正啊！！！,52018-12-11 15:51:47
limuyulong,海口,向猴王致敬～,52018-12-11 15:51:18
乖乖猪宝宝,海口,好看啊，真好啊看,52018-12-11 15:50:40
jjrxxx,广州,海王 教你做人,4.52018-12-11 15:50:36
dddddongzebo,深圳,女猪脚是真的好看,42018-12-11 15:50:32
iXy684728535,惠东,棒棒哒棒棒哒棒棒哒！,52018-12-11 15:50:31
我不信彭！,武汉,剧情很棒！你,52018-12-11 15:48:10
鹿汲0818,嘉善,女主角可以说是非常漂亮了,52018-12-11 15:48:07
zYA247167055,成都,好看，特效棒，剧情不拖沓，一气呵成。,4.52018-12-11 15:48:05
‰悠悠※藍翎,嘉峪关,简直太棒了啦,52018-12-11 15:48:04
_qq65m1444121780,合肥,low low,32018-12-11 15:47:59
dcydcy1992,招远,画面特效很不错、剧情也还可以、就是这海王在万众期待下 塑造的有点弱鸡啊、海王要是很强的话、那这个电影看的感觉就完全不一样了、就不会有点乏味了、肯定热血澎湃啊。 希望能把这个角色能力加强，这样才有意思，我不希望外形这么强悍的超级英雄这么弱。,42018-12-11 15:47:49
_qq5x61412311657,沈阳,好好好好好 够五个字了吧,52018-12-11 15:47:40
心有独钟,文山,好看好看好看,4.52018-12-11 15:47:38
_qq32x1430564875,大邑,近一年看过的最好看的电影。,4.52018-12-11 15:47:27
NAH18602734939,深圳,第一次深圳看电影，竟然不给眼镜，小哥也不告诉我买不买，裸眼看的，字看的累,4.52018-12-11 15:46:30
清茶845,博罗县,666666666,52018-12-11 15:46:18
剑羽,广州,原来海王也是这么萌的,4.52018-12-11 15:46:01
GbJ653197614,上海,视觉盛宴 很享受 故事虽然老套路 但是不影响观看体验,4.52018-12-11 15:45:56
浪子，走路回家,宜昌,好看啊好看啊,52018-12-11 15:45:46
sya98101,南京,不错挺好看的,52018-12-11 15:45:27
李晓龙,南昌,超级精彩，剧情流畅。比毒液更精彩，好久没看到这么高好看的好莱坞式电影了。,52018-12-11 15:42:27
晓俊,上海,不错真好看电影不错,52018-12-11 15:42:25
ET怪叔叔,怀化,特好看，特效爆炸,52018-12-11 15:41:39
海尔  &  haier,银川,个人感觉非常好看，值得推荐，只可惜是外国大片，,52018-12-11 15:41:19
